Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
fr FRA,Clément Lenglet,DF,Atlético Madrid,1972,21.9,2,1,2.4,1.1,16,79,1,10,4,87.5,5,0,27,17,22,49,104,1583,3,100.0,1065,1162,29
de GER,Bernd Leno,GK,Fulham,3420,38.0,0,1,0.0,0.1,0,0,0,0,0,81.8,2,2,2,2,0,2,11,1479,0,,955,862,0
gf GUF,Donovan Léon,GK,Auxerre,2880,32.0,0,2,0.0,0.4,0,1,0,0,0,59.2,3,2,0,0,0,0,26,1231,2,100.0,708,521,1
it ITA,Giovanni Leoni,DF,Parma,1199,13.3,1,0,0.1,0.0,0,21,5,2,1,87.7,1,0,14,6,15,29,63,774,3,100.0,449,492,11
fr FRA,Esteban Lepaul,FW,Angers,1629,18.1,9,0,5.1,0.8,26,20,68,41,17,67.1,7,7,11,6,4,15,10,504,6,28.6,246,348,16
fr FRA,Johann Lepenant,MF,Nantes,2048,22.8,2,1,1.4,0.9,25,89,62,20,5,80.3,8,12,68,33,18,86,25,992,18,50.0,502,596,51
co COL,Jefferson Lerma,"MF,DF",Crystal Palace,2274,25.3,0,1,1.1,1.6,13,97,26,26,8,75.3,10,18,35,17,42,77,80,1406,7,53.8,649,803,35
fr FRA,Louis Leroux,"MF,DF",Nantes,816,9.1,2,1,1.5,1.3,11,31,14,9,5,82.7,12,8,25,18,8,33,19,411,8,40.0,214,224,10
pl POL,Robert Lewandowski,FW,Barcelona,2667,29.6,27,2,27.1,2.3,27,48,164,111,45,73.4,19,9,10,5,3,13,26,841,20,57.1,472,667,30
de GER,Jamie Leweling,"MF,FW",Stuttgart,1663,18.5,2,2,1.6,3.8,55,51,164,29,16,70.5,25,26,16,6,11,27,17,801,41,50.0,540,598,17
eng ENG,Rico Lewis,"DF,MF",Manchester City,1893,21.0,1,2,1.4,0.3,39,107,78,10,2,91.5,7,14,30,19,13,43,45,1477,9,42.9,865,1061,12
eng ENG,Keane Lewis-Potter,"DF,FW",Brentford,3093,34.4,1,3,3.1,3.2,98,98,156,28,14,77.1,26,47,49,27,21,70,76,1613,41,40.6,868,966,18
eng ENG,Myles Lewis-Skelly,DF,Arsenal,1369,15.2,1,0,0.2,0.4,37,71,37,3,1,91.2,8,10,22,14,7,29,27,905,12,42.9,526,616,11
ci CIV,Ben Lhassine Kone,MF,Como,51,0.6,0,0,0.0,0.0,0,3,1,1,0,95.8,0,1,2,2,1,3,1,35,1,100.0,25,23,1
it ITA,Mattia Liberali,MF,Milan,61,0.7,0,0,0.1,0.0,1,5,4,2,0,77.4,1,1,2,1,0,2,0,38,0,0.0,30,30,1
at AUT,Philipp Lienhart,DF,Freiburg,2770,30.8,1,0,0.5,0.8,44,138,9,8,1,86.2,6,9,22,13,36,58,124,2520,4,40.0,1444,1712,22
nl NED,Matthijs de Ligt,DF,Manchester Utd,2123,23.6,2,0,2.5,0.3,7,55,6,18,9,89.9,6,2,30,22,33,63,96,1608,2,50.0,1078,1158,16
br BRA,Pedro Lima,DF,Wolves,70,0.8,0,0,0.1,0.1,4,4,11,1,1,73.7,2,3,1,0,2,3,5,48,1,33.3,22,30,1
se SWE,Victor Lindelöf,DF,Manchester Utd,704,7.8,0,0,0.0,0.1,5,26,4,0,0,93.8,3,2,7,2,8,15,36,452,0,,263,313,8
dk DEN,Jesper Lindstrøm,FW,Everton,1239,13.8,0,1,2.1,2.0,30,25,81,28,10,69.4,19,12,45,25,12,57,17,625,8,18.6,302,347,15
pl POL,Karol Linetty,MF,Torino,1540,17.1,1,0,1.1,0.9,18,47,19,17,4,84.6,10,10,39,23,12,51,31,732,7,33.3,397,450,39
br BRA,Samuel Lino,"MF,DF",Atlético Madrid,1552,17.2,3,4,6.0,2.9,72,73,179,45,18,79.4,22,24,33,17,8,41,13,1038,27,48.2,678,772,15
es ESP,Pol Lirola,DF,Marseille,680,7.6,1,2,0.6,0.7,12,21,40,6,1,83.1,8,4,13,9,4,17,12,460,1,33.3,248,305,9
cv CPV,Dailon Livramento,"FW,MF",Hellas Verona,940,10.4,1,1,1.8,0.9,23,13,67,13,4,53.9,8,3,15,11,3,18,9,307,6,24.0,161,202,21
eng ENG,Valentino Livramento,DF,Newcastle Utd,2840,31.6,0,1,0.3,2.6,83,158,119,6,2,85.4,25,28,54,36,23,77,108,1964,25,44.6,1023,1144,6
hr CRO,Marin Ljubicic,"FW,MF",Union Berlin,281,3.1,1,1,0.4,0.6,1,6,19,2,1,56.7,2,1,2,1,0,2,7,90,1,33.3,52,59,9
es ESP,Javier Llabrés,FW,Mallorca,57,0.6,0,0,0.0,0.1,3,3,8,1,0,83.3,1,1,0,0,0,0,0,29,0,,17,19,0
es ESP,Diego Llorente,DF,Betis,2519,28.0,2,0,1.5,0.3,7,81,3,11,4,86.7,6,3,36,20,43,79,154,1915,6,66.7,1127,1243,20
es ESP,Marcos Llorente,"DF,MF",Atlético Madrid,2513,27.9,2,4,0.8,4.3,82,111,151,16,5,85.5,28,26,69,52,27,96,51,1808,14,46.7,1116,1217,23
fr FRA,Gautier Lloris,DF,Le Havre,2768,30.8,2,1,1.2,0.9,13,99,7,11,2,87.2,5,5,68,43,34,102,192,1885,4,57.1,1028,1240,31
ar ARG,Giovani Lo Celso,"MF,FW",Betis,1457,16.2,8,3,4.8,4.9,26,132,66,31,16,79.0,43,41,34,22,5,39,3,1167,21,38.2,702,832,13
sk SVK,Stanislav Lobotka,MF,Napoli,2636,29.3,0,1,0.3,1.2,30,118,32,7,0,90.8,17,20,47,30,21,68,57,1967,8,72.7,1123,1459,24
it ITA,Manuel Locatelli,MF,Juventus,2822,31.4,2,2,1.8,2.5,33,294,33,24,7,87.8,29,31,72,49,23,95,77,2752,8,36.4,1559,2032,46
fr FRA,Bradley Locko,DF,Brest,97,1.1,0,0,0.0,0.0,1,2,2,1,0,88.1,0,0,2,2,1,3,3,56,1,100.0,27,30,1
eng ENG,Ruben Loftus-Cheek,MF,Milan,1037,11.5,0,0,0.7,1.9,27,51,32,9,2,89.7,16,7,19,8,3,22,20,593,11,47.8,362,464,23
fr FRA,Elysée Logbo,FW,Le Havre,27,0.3,0,0,0.2,0.0,0,0,2,1,0,75.0,0,0,0,0,0,0,0,6,0,,5,4,0
fr FRA,Enzo Loiodice,MF,Las Palmas,684,7.6,0,0,0.3,0.2,3,31,3,7,4,85.1,5,1,17,7,10,27,7,532,4,30.8,279,380,10
eng ENG,Sean Longstaff,MF,Newcastle Utd,798,8.9,0,0,0.6,0.2,4,40,22,6,1,84.5,4,1,27,16,7,34,8,434,2,28.6,248,308,9
ng NGA,Ademola Lookman,"MF,FW",Atalanta,2247,25.0,15,5,10.3,7.1,142,73,316,81,32,72.5,61,43,32,15,3,35,5,1274,37,35.6,827,974,31
pt POR,Anthony Lopes,GK,Nantes,1563,17.4,0,0,0.0,0.0,0,0,0,0,0,65.1,0,0,1,0,1,2,7,597,0,,320,276,1
es ESP,David López,DF,Mallorca,169,1.9,0,0,0.0,0.0,0,4,0,0,0,81.1,0,1,3,2,1,4,10,71,0,,38,41,0
es ESP,David López,DF,Girona,2429,27.0,1,1,0.9,0.6,17,132,7,12,3,92.1,4,6,32,24,14,46,111,2263,6,66.7,1405,1698,12
es ESP,Diego López,"MF,FW",Valencia,2737,30.4,8,5,6.6,5.0,76,85,219,44,14,72.1,38,34,31,18,16,47,15,1257,23,29.9,715,881,21
,Fer López,"FW,MF",Celta Vigo,671,7.5,2,0,2.7,1.9,27,43,58,20,5,84.6,14,12,9,5,2,11,7,365,18,52.9,264,298,13
es ESP,Fermin López,"MF,FW",Barcelona,1252,13.9,6,5,5.6,3.9,31,79,108,41,15,81.8,29,20,19,15,5,24,3,858,25,45.5,490,649,27
es ESP,Javi López,DF,Real Sociedad,1936,21.5,0,0,0.1,0.4,36,73,64,5,1,78.4,5,14,40,23,11,51,59,1247,18,46.2,571,674,30
es ESP,Pau López,GK,Girona,45,0.5,0,0,0.0,0.0,0,0,0,0,0,75.0,0,1,0,0,0,0,1,26,0,,17,13,0
es ESP,Roberto López,MF,Leganés,396,4.4,0,1,0.5,0.9,3,20,11,6,1,73.1,10,2,8,6,1,9,7,242,2,50.0,122,141,1
es ESP,Unai López,MF,Rayo Vallecano,1707,19.0,3,1,1.6,1.0,22,112,40,26,11,84.2,19,11,31,21,21,52,20,1410,15,65.2,828,1036,18
es ESP,Iker Losada,"FW,MF",Celta Vigo,358,4.0,1,0,1.1,0.3,9,17,23,3,2,75.0,5,6,3,3,1,4,8,162,2,40.0,87,123,3
es ESP,Iker Losada,"MF,FW",Betis,336,3.7,0,0,0.5,0.3,9,14,16,5,1,75.4,6,5,10,7,3,13,2,180,2,33.3,101,130,1
fr FRA,Anthony Losilla,MF,Bochum,1137,12.6,0,0,0.1,0.4,3,45,11,5,0,76.6,7,9,30,16,18,48,27,547,1,20.0,223,284,18
ch SUI,Jordan Lotomba,"MF,DF",Nice,35,0.4,0,0,0.0,0.0,4,3,2,0,0,81.0,0,0,0,0,0,0,1,24,1,33.3,19,17,2
fr FRA,Tom Louchet,"DF,MF",Nice,775,8.6,1,0,0.8,1.2,19,36,37,12,4,81.7,14,9,27,17,18,45,20,579,4,30.8,246,317,8
si SVN,Sandi Lovrić,MF,Udinese,2308,25.6,2,3,2.6,3.4,60,120,71,49,12,78.7,32,21,46,29,22,68,27,1258,21,43.8,670,786,54
es ESP,Pol Lozano,MF,Espanyol,1943,21.6,0,1,0.2,0.8,18,115,12,8,2,83.8,17,11,53,34,22,75,31,1026,5,26.3,506,596,56
it ITA,Lorenzo Lucca,FW,Udinese,2353,26.1,12,1,7.6,1.6,15,18,98,64,25,64.0,14,1,10,6,7,17,27,641,12,48.0,350,478,65
co COL,Jhon Lucumí,DF,Bologna,2614,29.0,0,1,0.6,0.4,34,108,7,13,2,91.1,8,0,53,30,26,79,88,2294,10,71.4,1464,1557,22
de GER,Yannik Lührs,DF,Dortmund,127,1.4,0,0,0.0,0.0,2,1,1,0,0,91.6,1,0,1,1,2,3,4,176,0,,131,140,2
es ESP,José Luis Gayà,DF,Valencia,1803,20.0,0,1,1.0,2.6,29,59,156,12,4,77.8,24,31,57,40,25,82,61,1202,7,35.0,555,678,28
ar ARG,José Luis Palomino,DF,Cagliari,1081,12.0,1,0,0.5,0.0,4,35,1,2,1,86.7,1,2,27,15,22,49,46,707,0,0.0,384,422,11
br BRA,Douglas Luiz,MF,Juventus,529,5.9,0,0,0.6,1.0,16,35,12,8,2,86.5,15,9,13,8,4,17,5,487,11,78.6,276,347,14
be BEL,Romelu Lukaku,FW,Napoli,2843,31.6,14,10,13.0,4.0,31,36,219,60,20,71.0,35,11,4,2,1,5,17,725,6,23.1,380,589,47
fr FRA,Castello Lukeba,DF,RB Leipzig,1577,17.5,0,0,0.4,0.2,18,80,23,4,1,85.1,4,7,31,17,17,48,74,1445,20,62.5,806,993,12
be BEL,Dodi Lukebakio,FW,Sevilla,3092,34.4,11,2,10.1,4.5,131,93,247,93,38,74.1,54,24,22,14,11,33,17,1494,84,50.3,889,1110,39
rs SRB,Saša Lukić,MF,Fulham,2344,26.0,0,2,1.2,2.7,39,98,33,18,2,87.3,26,17,68,39,28,96,35,1493,8,47.1,825,963,66
rs SRB,Milos Lukovic,"FW,MF",Strasbourg,12,0.1,0,0,0.0,0.0,0,0,0,0,0,66.7,0,0,0,0,0,0,0,4,0,,3,3,0
eng ENG,Joe Lumley,GK,Southampton,270,3.0,0,0,0.0,0.0,0,0,0,0,0,70.2,0,0,0,0,0,0,3,164,0,,103,108,0
co COL,Daniel Luna,MF,Mallorca,20,0.2,0,0,0.0,0.0,1,0,2,0,0,61.5,0,0,0,0,0,0,0,17,1,33.3,11,11,0
ua UKR,Andriy Lunin,GK,Real Madrid,630,7.0,0,1,0.0,0.9,0,0,0,0,0,86.1,1,0,1,0,0,1,3,209,0,,116,109,0
au AUS,Massimo Luongo,MF,Ipswich Town,201,2.2,0,0,0.0,0.0,0,6,1,0,0,75.8,0,0,9,6,2,11,2,87,0,,46,50,1
it ITA,Sebastiano Luperto,DF,Cagliari,3240,36.0,1,3,2.2,1.3,22,96,11,21,5,83.9,8,6,48,27,33,81,161,1913,1,16.7,1060,1190,23
ao ANG,Zito Luvumbo,"FW,MF",Cagliari,1606,17.8,2,2,2.1,3.1,70,31,125,23,4,59.9,17,13,10,6,4,14,4,477,25,39.7,347,367,38
gr GRE,Charalambos Lykogiannis,DF,Bologna,1048,11.6,0,4,0.2,1.6,10,49,36,6,2,71.4,19,13,23,14,11,34,41,810,4,50.0,368,471,10
be BEL,Senne Lynen,MF,Werder Bremen,2733,30.4,0,1,1.1,0.6,9,91,28,24,3,82.9,8,15,72,39,65,137,75,1717,12,42.9,849,959,38
no NOR,Mathias Løvik,"DF,FW",Parma,92,1.0,0,0,0.1,0.1,0,1,6,1,0,74.1,1,1,1,0,2,3,3,70,2,50.0,42,45,2
ma MAR,Othmane Maamma,"FW,MF",Montpellier,361,4.0,1,1,0.7,0.2,8,2,24,10,3,65.4,3,2,3,1,1,4,2,149,7,23.3,95,110,4
nl NED,Ian Maatsen,DF,Aston Villa,1139,12.7,1,2,0.9,2.7,31,50,104,19,5,81.5,19,19,29,17,15,44,39,917,13,44.8,505,564,11
ar ARG,Alexis Mac Allister,MF,Liverpool,2599,28.9,5,5,2.8,4.7,36,177,80,38,13,83.5,45,35,95,58,22,117,29,1860,16,38.1,914,1227,62
co COL,Deiver Machado,"DF,MF",Lens,1805,20.1,1,4,2.3,2.1,42,45,80,23,5,83.6,20,19,36,26,16,52,34,1123,23,48.9,605,661,28
fr FRA,Lanroy Machine,FW,Angers,8,0.1,0,0,0.1,0.0,0,0,1,1,0,60.0,0,0,0,0,0,0,0,7,0,,4,3,0
jp JPN,Shuto Machino,"FW,MF",Holstein Kiel,1953,21.7,11,2,6.5,3.0,30,59,108,49,21,64.2,27,20,8,5,7,15,28,899,10,55.6,449,581,19
ve VEN,Darwin Machís,"MF,FW",Valladolid,639,7.1,0,1,0.9,0.5,17,19,43,14,2,59.7,8,5,5,4,5,10,13,334,5,25.0,173,219,4
fr FRA,Yvann Macon,DF,Saint-Étienne,790,8.8,0,0,0.3,0.2,25,46,40,10,2,73.8,6,7,19,11,2,21,10,493,9,47.4,256,307,26
eng ENG,James Maddison,MF,Tottenham,1809,20.1,9,7,5.8,4.2,45,164,95,39,17,81.3,41,32,31,19,12,43,19,1464,33,42.9,1026,1125,32
nl NED,Eros Maddy,DF,Auxerre,15,0.2,0,0,0.0,0.1,1,1,4,0,0,100.0,1,0,0,0,0,0,0,8,0,0.0,7,7,3
eng ENG,Noni Madueke,FW,Chelsea,2033,22.6,7,3,9.6,4.2,154,69,226,80,30,77.4,32,35,25,18,10,35,11,980,45,44.1,641,756,22
es ESP,Pablo Maffeo,DF,Mallorca,2368,26.3,0,2,0.3,4.1,46,74,122,7,1,70.8,29,34,60,40,25,85,103,1389,40,47.1,671,701,22
br BRA,Gabriel Magalhães,DF,Arsenal,2363,26.3,3,1,2.6,0.9,10,126,11,22,5,90.2,13,8,25,15,16,41,93,1873,4,80.0,1116,1366,19
fr FRA,Soungoutou Magassa,MF,Monaco,1025,11.4,0,1,0.5,0.9,6,63,11,8,3,84.6,7,10,47,25,21,68,19,781,15,65.2,386,500,28
eng ENG,Edmond-Paris Maghoma,"MF,FW",Brentford,119,1.3,0,0,0.1,0.1,4,13,4,1,0,90.5,1,0,2,1,1,3,2,101,3,75.0,68,75,2
it ITA,Giangiacomo Magnani,DF,Hellas Verona,1065,11.8,1,0,1.1,0.0,4,31,7,11,2,80.7,1,0,20,15,17,37,73,540,1,25.0,251,274,8
fr FRA,Hugo Magnetti,MF,Brest,2323,25.8,1,0,0.8,0.4,21,80,20,19,6,84.9,6,6,52,32,18,70,37,1315,9,37.5,694,869,29
cm CMR,Frank Magri,"FW,MF",Toulouse,1516,16.8,5,1,6.0,1.5,17,25,80,44,18,70.9,9,7,8,2,4,12,11,420,4,22.2,244,316,26
eng ENG,Harry Maguire,DF,Manchester Utd,1758,19.5,1,0,1.8,0.6,7,51,7,15,6,85.5,9,4,30,15,40,70,78,1328,2,40.0,782,856,18
es ESP,Jon Magunazelaia,MF,Real Sociedad,7,0.1,0,0,0.0,0.0,0,1,0,0,0,53.8,0,0,1,1,0,1,0,16,0,,9,9,1
de GER,Arne Maier,MF,Augsburg,938,10.4,0,0,1.5,1.5,19,44,56,18,6,76.5,25,10,13,7,6,19,14,699,7,43.8,390,451,9
fr FRA,Mike Maignan,GK,Milan,3294,36.6,0,0,0.0,0.8,0,4,0,0,0,86.2,5,0,0,0,0,0,19,1635,1,100.0,1026,959,1
de GER,Patrick Mainka,DF,Heidenheim,3060,34.0,1,1,1.9,0.3,21,102,12,25,8,85.4,7,5,58,30,68,126,206,2136,6,54.5,1171,1257,17
eng ENG,Kobbie Mainoo,MF,Manchester Utd,1651,18.3,0,0,0.7,1.6,22,65,47,15,2,86.5,14,12,46,29,19,65,14,1061,23,46.0,652,760,27
eng ENG,Ainsley Maitland-Niles,DF,Lyon,1985,22.1,1,4,2.9,3.4,33,102,110,22,7,85.0,27,30,71,44,25,96,61,1509,17,42.5,750,916,16
pl POL,Radosław Majecki,GK,Monaco,1350,15.0,0,0,0.0,0.0,0,1,0,0,0,74.7,0,0,0,0,0,0,8,434,0,,233,181,0
hr CRO,Lovro Majer,MF,Wolfsburg,304,3.4,2,1,1.4,1.1,8,17,10,6,4,69.5,8,3,2,1,1,3,2,175,5,50.0,111,122,6
ml MLI,Hamidou Makalou,"FW,MF",Brest,32,0.4,0,0,0.0,0.0,1,2,0,0,0,94.4,0,0,0,0,0,0,0,23,1,100.0,16,19,0
fr FRA,Jordy Makengo,DF,Freiburg,745,8.3,0,0,0.0,0.2,9,15,35,0,0,79.1,2,5,16,9,7,23,29,393,4,33.3,203,228,5
cg CGO,Antoine Makoumbou,MF,Cagliari,2150,23.9,0,3,0.3,0.9,11,92,14,7,0,88.8,8,14,42,23,17,59,28,1367,10,52.6,818,957,27
rs SRB,Nikola Maksimović,DF,Montpellier,581,6.5,0,0,0.0,0.0,1,11,0,1,0,92.9,2,2,9,5,6,15,30,378,2,100.0,214,252,3
nl NED,Tyrell Malacia,DF,Manchester Utd,100,1.1,0,0,0.0,0.0,3,3,6,0,0,89.1,1,1,2,1,1,3,1,62,1,100.0,37,43,3
de GER,Jarzinho Malanga,DF,Stuttgart,2,0.0,0,0,0.0,0.0,0,0,2,0,0,100.0,0,0,0,0,0,0,0,3,0,,1,3,0
ar ARG,Julián Malatini,DF,Werder Bremen,454,5.0,1,1,0.2,0.5,8,24,4,3,1,86.4,2,4,11,9,7,18,17,363,2,66.7,224,245,9
it ITA,Daniel Maldini,"MF,FW",Monza,1306,14.5,3,0,4.8,0.9,41,34,66,39,13,68.3,12,8,14,6,4,18,12,584,30,41.7,388,426,15
it ITA,Daniel Maldini,"FW,MF",Atalanta,258,2.9,3,0,1.9,0.2,12,7,30,10,5,62.9,3,1,2,2,2,4,3,140,6,33.3,95,113,3
ma MAR,Youssef Maleh,MF,Empoli,1510,16.8,0,1,0.9,0.9,10,72,37,17,3,71.1,12,11,45,23,16,61,25,744,4,30.8,299,419,32
nl NED,Donyell Malen,FW,Aston Villa,305,3.4,3,0,2.2,0.2,12,6,30,15,9,68.8,3,2,7,4,0,7,1,129,4,36.4,79,87,1
nl NED,Donyell Malen,"FW,MF",Dortmund,614,6.8,3,0,2.9,0.2,23,17,75,19,6,71.6,1,6,0,0,3,3,6,278,11,34.4,187,214,2
ua UKR,Ruslan Malinovskyi,"MF,FW",Genoa,383,4.3,0,2,0.2,1.5,3,32,10,9,3,81.6,8,9,12,8,1,13,4,242,3,75.0,151,163,9
us USA,Lennard Maloney,MF,Heidenheim,760,8.4,0,0,0.3,0.0,1,14,0,3,0,71.6,1,1,20,11,14,34,38,378,1,25.0,147,161,11
us USA,Lennard Maloney,MF,Mainz 05,26,0.3,0,0,0.0,0.0,1,0,0,0,0,57.1,0,0,2,1,0,2,3,28,0,,5,6,2
fr FRA,Aaron Malouda,FW,Lille,2,0.0,0,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,0
ge GEO,Giorgi Mamardashvili,GK,Valencia,3060,34.0,0,0,0.0,0.1,1,0,0,0,0,67.8,2,1,2,2,1,3,16,1163,0,,574,490,1
ro ROU,Dennis Man,"FW,MF",Parma,1995,22.2,4,4,5.5,4.2,67,60,142,49,20,79.6,45,25,13,6,8,21,11,1027,25,33.3,665,741,8
fr FRA,Hianga Mananga Mbock,MF,Brest,21,0.2,0,0,0.0,0.0,0,0,0,1,1,82.4,0,0,0,0,1,1,0,19,0,,14,15,1
it ITA,Gianluca Mancini,DF,Roma,3143,34.9,2,0,1.7,0.9,45,139,23,22,5,86.0,14,17,42,26,35,77,103,2240,1,11.1,1341,1609,49
fr FRA,Steve Mandanda,GK,Rennes,1486,16.5,0,0,0.0,0.1,0,0,1,0,0,70.7,2,0,0,0,0,0,6,523,2,100.0,305,273,0
gr GRE,Christos Mandas,GK,Lazio,810,9.0,0,0,0.0,0.0,0,3,0,0,0,71.6,0,1,0,0,0,0,4,351,0,,237,210,0
mz MOZ,Reinildo Mandava,DF,Atlético Madrid,941,10.5,0,0,0.1,0.1,14,34,15,1,1,84.2,2,2,18,11,16,34,35,717,4,22.2,421,459,19
dz ALG,Aïssa Mandi,DF,Lille,1733,19.3,0,0,0.3,0.4,12,82,21,6,2,88.7,5,6,31,17,15,46,54,1395,3,75.0,736,990,7
it ITA,Rolando Mandragora,MF,Fiorentina,1856,20.6,4,2,2.7,4.8,11,92,34,37,14,77.8,31,16,23,13,15,38,54,1119,7,50.0,580,732,18
,Mateus Mane,MF,Wolves,2,0.0,0,0,0.0,0.0,0,0,0,0,0,80.0,0,0,0,0,0,0,0,6,0,,2,4,0
be BEL,Orel Mangala,MF,Everton,1261,14.0,1,0,1.1,0.6,6,34,19,16,6,89.2,8,8,16,8,21,37,24,621,14,58.3,298,406,24
be BEL,Orel Mangala,MF,Lyon,67,0.7,0,0,0.1,0.0,1,7,3,1,0,90.6,1,0,1,0,0,1,1,42,0,0.0,26,29,0
ie IRL,Ryan Manning,"DF,MF",Southampton,1462,16.2,0,1,0.3,3.2,14,35,74,8,1,77.1,34,12,28,17,17,45,47,968,11,30.6,483,573,19
es ESP,Javier Manquillo,DF,Celta Vigo,515,5.7,0,0,0.0,0.0,3,24,5,0,0,89.8,0,2,7,5,7,14,14,413,0,0.0,248,312,9
ch SUI,Johan Manzambi,"FW,MF",Freiburg,335,3.7,2,1,1.3,0.4,7,10,12,11,3,75.5,3,3,8,2,4,12,7,209,6,60.0,118,129,7
it ITA,Alberto Manzoni,MF,Atalanta,6,0.1,0,0,0.1,0.0,0,0,0,1,0,91.7,0,0,0,0,0,0,0,14,0,,8,13,1
fr FRA,Sekou Mara,"FW,MF",Strasbourg,768,8.5,1,1,2.0,1.0,9,11,47,19,5,69.2,5,2,9,6,3,12,3,303,11,40.7,181,223,18
it ITA,Alessandro Marcandalli,DF,Genoa,46,0.5,0,0,0.0,0.0,0,1,0,0,0,60.0,0,0,1,0,0,1,2,24,0,,11,11,0
it ITA,Alessandro Marcandalli,DF,Venezia,354,3.9,0,0,0.3,0.0,2,10,1,2,1,73.3,0,0,8,6,2,10,26,200,0,0.0,89,101,9
br BRA,Marcão,DF,Sevilla,552,6.1,0,0,0.0,0.0,0,19,1,0,0,90.2,0,0,10,7,7,17,29,382,2,40.0,216,247,9
eng ENG,Solly March,"FW,MF",Brighton,168,1.9,0,0,0.1,0.3,5,2,20,2,0,63.2,3,4,6,3,2,8,2,118,1,25.0,57,67,2
pl POL,Filip Marchwiński,MF,Lecce,15,0.2,0,0,0.0,0.0,0,0,0,0,0,80.0,0,0,0,0,0,0,0,5,0,,3,4,0
es ESP,Óscar de Marcos,DF,Athletic Club,1564,17.4,0,4,1.0,2.6,26,102,78,8,2,79.2,19,25,32,15,16,48,35,1158,4,23.5,478,627,16
es ESP,Alberto Marí,FW,Valencia,7,0.1,0,0,0.0,0.0,0,1,2,0,0,50.0,0,0,0,0,0,0,0,4,0,,2,4,1
es ESP,Pablo Marí,DF,Monza,1628,18.1,0,0,0.2,0.1,5,58,1,2,0,89.7,3,0,26,15,37,63,85,1296,6,100.0,765,861,27
es ESP,Pablo Marí,DF,Fiorentina,1098,12.2,0,0,0.1,0.0,2,27,0,5,1,91.3,0,0,14,9,25,39,94,784,0,0.0,409,467,14
uy URU,José María Giménez,DF,Atlético Madrid,1999,22.2,0,1,0.4,0.2,3,64,1,5,1,91.8,2,0,26,16,27,53,115,1582,2,66.7,1006,1094,13
it ITA,Luca Marianucci,DF,Empoli,1069,11.9,0,0,0.6,0.2,12,28,3,8,2,76.8,3,2,28,12,19,47,63,609,5,50.0,299,311,11
hr CRO,Mirko Marić,"FW,MF",Monza,106,1.2,0,0,0.2,0.0,1,3,8,1,0,63.4,1,3,1,0,1,2,1,54,1,100.0,25,40,2
hr CRO,Mirko Marić,FW,Venezia,356,4.0,0,0,0.6,0.0,4,9,27,6,0,74.6,2,1,6,3,1,7,10,161,2,33.3,83,110,3
es ESP,Arkaitz Mariezkurrena,"FW,MF",Real Sociedad,241,2.7,2,0,1.0,0.1,3,4,12,10,5,69.1,2,4,1,0,1,2,4,105,3,60.0,60,68,13
es ESP,Rafa Marín,DF,Napoli,142,1.6,0,0,0.2,0.0,2,5,0,2,1,97.5,0,0,1,0,1,2,4,131,0,,78,108,2
es ESP,Pablo Marín,MF,Real Sociedad,1239,13.8,1,2,1.4,1.0,20,45,47,21,7,80.1,14,9,25,17,5,30,14,641,20,57.1,349,419,19
ro ROU,Răzvan Marin,MF,Cagliari,1406,15.6,3,2,2.4,3.6,22,84,29,21,8,76.1,34,20,22,13,2,24,20,860,13,54.2,471,544,25
cl CHI,Guillermo Maripán,DF,Torino,2340,26.0,1,1,0.9,1.0,14,96,9,12,5,86.3,5,5,40,23,41,81,138,1636,2,25.0,962,1044,29
es ESP,Mika Mármol,DF,Las Palmas,2399,26.7,0,1,0.4,1.5,33,106,62,10,0,74.4,16,16,61,29,38,99,121,1820,7,46.7,793,1065,33
eg EGY,Omar Marmoush,"FW,MF",Manchester City,1175,13.1,7,0,5.5,2.8,29,37,78,49,17,79.2,15,29,13,8,6,19,3,504,20,43.5,320,361,15
eg EGY,Omar Marmoush,FW,Eint Frankfurt,1448,16.1,15,9,8.8,6.2,73,50,125,75,34,69.8,34,22,12,8,2,14,2,671,46,45.5,442,483,8
es ESP,Mario Maroto,MF,Valladolid,64,0.7,0,1,0.0,0.1,0,2,0,1,0,75.6,1,0,0,0,2,2,2,49,1,100.0,22,31,2
br BRA,Marquinhos,DF,Paris S-G,1725,19.2,2,0,1.1,0.8,29,151,4,8,3,94.9,9,4,30,19,11,41,64,1990,3,75.0,1335,1603,18
es ESP,Unai Marrero,GK,Real Sociedad,180,2.0,0,0,0.0,0.0,0,0,0,0,0,80.7,0,0,0,0,0,0,1,66,0,,29,26,0
ml MLI,Ange Martial Tia,"MF,DF",Reims,171,1.9,0,0,1.3,0.0,2,8,9,4,2,71.0,2,1,4,3,2,6,4,92,3,42.9,43,46,3
es ESP,Aarón Martín,DF,Genoa,3085,34.3,0,8,0.9,5.5,50,90,108,16,4,72.5,65,30,71,47,19,90,73,1951,12,44.4,878,1039,38
es ESP,Carlos Martín,"FW,MF",Alavés,1333,14.8,2,2,2.3,2.7,13,21,67,26,12,65.3,13,7,43,21,5,48,20,612,9,25.0,305,375,32
